               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.039518,            0.011482,           0.0059636,             0.63839,             0.38464,             0.41354,             0.28421,             0.04555,            0.011907,            0.047457,           0.0073072,           0.0073072,           0.0073072
                 138,            0.039577,            0.011526,           0.0063293,             0.66222,             0.37836,             0.41356,             0.28524,             0.04536,            0.011861,            0.047759,           0.0072874,           0.0072874,           0.0072874
                 139,            0.039495,            0.011549,           0.0057284,             0.67926,             0.38786,             0.41596,             0.28544,            0.045305,            0.011859,            0.048059,           0.0072676,           0.0072676,           0.0072676
                 140,            0.039329,            0.011339,           0.0060545,              0.6666,             0.39227,             0.41462,             0.28314,            0.045571,            0.011976,            0.048165,           0.0072478,           0.0072478,           0.0072478
                 141,            0.039268,            0.011391,           0.0056465,             0.65103,             0.39902,             0.42148,             0.28603,            0.045448,            0.012011,            0.047786,            0.007228,            0.007228,            0.007228
                 142,            0.039102,            0.011448,           0.0059237,             0.65297,             0.39015,             0.41931,             0.28626,            0.045484,            0.011935,            0.048088,           0.0072082,           0.0072082,           0.0072082
                 143,            0.038816,             0.01138,           0.0058047,             0.71066,             0.37821,             0.41923,             0.28583,            0.045777,             0.01203,            0.047772,           0.0071884,           0.0071884,           0.0071884
                 144,            0.039262,            0.011245,           0.0062956,             0.65208,             0.39472,              0.4202,             0.28732,            0.045601,            0.012045,            0.047538,           0.0071686,           0.0071686,           0.0071686
                 145,            0.039306,            0.011609,           0.0057794,             0.68677,             0.39432,             0.42421,             0.28981,            0.045474,            0.012005,            0.048112,           0.0071488,           0.0071488,           0.0071488
                 146,            0.039092,            0.011428,           0.0057769,             0.68722,             0.39546,              0.4209,             0.28641,            0.045539,             0.01194,            0.048496,            0.007129,            0.007129,            0.007129
                 147,            0.039317,            0.011374,           0.0064428,             0.67408,             0.39051,             0.41851,             0.28507,              0.0455,            0.011839,            0.048749,           0.0071092,           0.0071092,           0.0071092
                 148,             0.03873,             0.01137,           0.0058861,             0.68597,             0.39153,              0.4172,             0.28228,            0.045394,            0.011789,            0.048843,           0.0070894,           0.0070894,           0.0070894
                 149,            0.038802,            0.011153,           0.0059927,             0.69737,             0.38852,             0.41705,             0.28434,            0.045331,            0.011925,            0.048391,           0.0070696,           0.0070696,           0.0070696
                 150,            0.039543,            0.011574,            0.006217,             0.71382,             0.38807,             0.41973,               0.287,            0.045206,            0.011891,            0.048021,           0.0070498,           0.0070498,           0.0070498
                 151,            0.039005,            0.011672,           0.0056811,             0.70118,              0.3873,             0.41875,             0.28728,            0.045039,            0.011867,            0.047993,             0.00703,             0.00703,             0.00703
                 152,            0.038539,            0.011376,           0.0057219,             0.69265,              0.3926,             0.42164,             0.28866,             0.04502,            0.011852,            0.048035,           0.0070102,           0.0070102,           0.0070102
                 153,             0.03867,            0.011127,           0.0055292,             0.68521,             0.39211,             0.42166,             0.28874,            0.045045,            0.011842,            0.048017,           0.0069904,           0.0069904,           0.0069904
                 154,            0.039012,            0.011264,           0.0058374,             0.67925,             0.39312,             0.42271,             0.29052,            0.045084,            0.012014,            0.048121,           0.0069706,           0.0069706,           0.0069706
                 155,            0.038217,            0.011326,           0.0056814,             0.67492,             0.39623,             0.42372,             0.29155,            0.045207,            0.012029,             0.04823,           0.0069508,           0.0069508,           0.0069508
                 156,            0.039122,            0.011457,           0.0058058,             0.66519,             0.39685,             0.42272,             0.29267,            0.045208,             0.01207,            0.047853,            0.006931,            0.006931,            0.006931
                 157,            0.038462,            0.011207,           0.0055831,             0.66353,             0.40003,             0.42548,             0.29379,            0.045217,            0.012033,            0.047919,           0.0069112,           0.0069112,           0.0069112
